Path,BodyYaw,BodyRoll,HeadYaw,HeadPitch,HeadRoll,DeltaYaw
/media/ee303/disk2/style_generation/diffusers/pixart_pose_alignment_v4/0000_bodyshot_photography_boy_head_facing_forward_straight.jpg,11.9,-1.5,-8.6,-8.5,13.1,20.5
/media/ee303/disk2/style_generation/diffusers/pixart_pose_alignment_v4/0001_bodyshot_photography_boy_head_turned_to_the_left_over_the_shoulder.jpg,-88.4,8.3,-18.2,-2.6,-37.7,70.2
/media/ee303/disk2/style_generation/diffusers/pixart_pose_alignment_v4/0002_bodyshot_photography_boy_head_turned_to_the_right_over_the_shoulder.jpg,-85.2,20.1,-17.2,-9.1,-32.4,68.0
/media/ee303/disk2/style_generation/diffusers/pixart_pose_alignment_v4/0003_bodyshot_photography_boy_head_tilted_up.jpg,-35.5,3.5,-0.1,21.0,-24.6,35.5
/media/ee303/disk2/style_generation/diffusers/pixart_pose_alignment_v4/0004_bodyshot_photography_boy_head_tilted_down.jpg,85.8,-0.7,26.2,-19.5,-57.7,59.6
/media/ee303/disk2/style_generation/diffusers/pixart_pose_alignment_v4/0005_bodyshot_photography_boy_head_turned_to_the_left_over_the_shoulder_and_tilted_up.jpg,-79.0,9.6,15.4,1.6,-71.6,94.4
/media/ee303/disk2/style_generation/diffusers/pixart_pose_alignment_v4/0006_bodyshot_photography_boy_head_turned_to_the_left_over_the_shoulder_and_tilted_down.jpg,90.7,-37.9,-41.4,39.5,-146.4,132.1
/media/ee303/disk2/style_generation/diffusers/pixart_pose_alignment_v4/0007_bodyshot_photography_boy_head_turned_to_the_right_over_the_shoulder_and_tilted_up.jpg,-67.9,12.6,-2.9,-3.6,-63.4,64.9
/media/ee303/disk2/style_generation/diffusers/pixart_pose_alignment_v4/0009_bodyshot_photography_girl_head_facing_forward_straight.jpg,14.1,0.9,-6.9,-11.7,12.9,21.0
/media/ee303/disk2/style_generation/diffusers/pixart_pose_alignment_v4/0010_bodyshot_photography_girl_head_turned_to_the_left_over_the_shoulder.jpg,98.0,-14.2,22.2,-6.8,9.6,75.8
/media/ee303/disk2/style_generation/diffusers/pixart_pose_alignment_v4/0011_bodyshot_photography_girl_head_turned_to_the_right_over_the_shoulder.jpg,80.1,-6.5,9.0,-3.9,29.3,71.1
/media/ee303/disk2/style_generation/diffusers/pixart_pose_alignment_v4/0012_bodyshot_photography_girl_head_tilted_up.jpg,1.9,5.0,22.4,161.1,25.5,20.5
